Product Code,Product Name,Variant,Expected,Counted
2205483,N900F 32 GB,,65,65
2620908,J 415 F 16 GB,,-25,261
4750620,EZEE TAB 10,,12,3
5529596,N3.1,,7,1
5647997,S 751,,201,136
5992774,Alcatel 8079 10.1 wifi,,156,43
6142163,X S max 512 GB,,0,0
6398686,J415 F 32 GB,,-128,820
7227548,J320,,25,21
7584730,CARS,,150,150
9015678,T116,,-1,0
9513556,J 106 Mini prime,,0,0
10523289,A600 32GB EU,,0,0
11395311,BB 9220,,32,32
12348670,VERYKOOL i 128,,8,8
13319783,G965F 64GB,,10,18
13384772,"I 6, 32 GB Grade A",,0,0
14243918,2002D,,461,459
15662624,N 105 SS ESP & FR,,2235,2949
17074464,G 532 GPP+,,-119,53
17173386,J6+ J615 DS 32 GB,,-93,0
17422674,SKY 4.0,,35,35
18151249,KEY 2 LE,,5,21
18899642,G 611F 32 GB (J7 prime 2),,247,167
19692869,I 6 S + 32 GB Grade A,,0,0
21440101,5026,,199,192
21669196,"I 7+ 256 GB, Grade A",,10,10
22384348,I 8 PLUS 64 GB,,5,28
22543470,KLIPAD,,6,6
24201666,X S 64 GB,,45,50
24236534,"I 8 , 64 GB",,14,32
25615837,"J 810, 32 GB",,1,183
27562674,N 105 DS ENG. FRA ESP,,1043,2684
28367952,J2 PRO,,-165,748
29162979,I 6 + 128 GB Grade A,,0,0
29249840,J110 ( j1 ace),,819,86
29488507,MI,,917,937
29909992,NOTE 9,,-4,8
30220448,KEY2 64GB,,-5,23
32838716,J 105 ,,0,0
33557302,N 106,,390,1063
35565576,5099,,88,88
36622259,Test,,0,0
36722121,TAB PIXEL 3,,1,1
37178051,N 150,,22,0
37217810,J 530F 16 GB,,12,0
37589232,M 20F 32GB,,,2
37757204,Alcatel 1016,,-2,360
37985677,"6S, 32 GB",,51,26
38289144,C7,,1687,1611
38660084,105,,0,25
39992949,J 530 F 32 GB ,,,114
40161610,J 530 F 16 GB ( J 5 pro),,-192,17
40172498,IKU C40L 4 G,,0,0
41379076,VERYKOOL i5037,,47,64
41458234,Y220,,3,3
42116373,VERYKOOL i607,,-3,10
42725886,"J 200, 2017",,-2,0
42957231,G950F 64GB,,-1,0
42970135,J610 J6+ EU,,-397,0
43739739,I 6. 64 GB Grade A,,32,10
44646571,Pixel 2,,0,0
44722500,5023,,300,300
45425592,I 6 S+ 64 GB  Grade A,,0,0
45788704,G 532 F J2 Prime,,9,314
46569629,A 105,,1755,1737
47887755,"G 615, 7 MAX",,2,2
48137944,Airpod,,0,0
4845045,X s max 64 GB,,-5,-3
49616307,"I 7, 256 GB Grade A",,5,5
49864001,J6+ J615 DS 32GB,,-128,130
52127329,I 6 S 16 GB Grade A,,23,17
52137922,A 310M 2016,,148,140
52611688,SKY 5.0,,30,30
52924879,G955F 64GB,,0,0
53574835,I 6 S 32 GB Grade A,,5,5
5377290,I 7 + 32 GB Gade A,,23,21
54061846,T 561,,0,0
54611352,PIXI4 4034,,0,0
55626282,J 701 NXT 32GB,,3,0
56141036,"I 8, 256 GB",,1,1
56949412,LUMIA 625,,0,0
57588352,MAT 20 PRO,,13,4
59036414,E 1205 Y,,903,1512
60773660,I 6 S 64 GB Grade A,,222,216
60916008,CARD PHONE,,21,21
61642604,VERYKOOL i235s,,4,4
61738624,A 750 A7,,167,9
63380698,f965,,-3,-3
63399094,"J 415, 32GB EU",,-33,251
63745629,I 6 S 128 GB Grade A,,13,13
64665490,T 580 32 GB Tab A,,38,29
64982950,J400 F 16 GB,,-11,752
65233054,T T 42,,9,9
65714003,I 6 Plus 16 GB Grade A,,5,5
65915871,J260F J2 CORE,,374,543
66283100,VERYKOOL i127,,2,10
66622199,J410 J4 Core 16 GB,,204,747
67635174,LUMIA 520,,0,5
67671710,J400 F 32 GB,,36,0
67911671,XR 64 GB,,36,12
68422046,"M 10, 16 GB",,337,133
68508449,M10F 32 GB,,,152
70711623,A600 32 GB,,-75,0
71179138,I 6 PLUS 128 GB Grade A,,6,6
72885480,J 120,,0,0
73228412,9008 D,,204,121
73986821,I 7 + 128GB Grade A,,31,28
74445077,B350,,0,0
75158356,VERYKOOL i 5528,,0,2
76688721,"J600, 32 GB",,-9,198
77996312,5200,,8,8
78666984,T285,,94,122
80146751,4049 D,,0,0
80582481,"X, 64 GB",,77,8
80923884,X s max 256 GB,,110,14
82409077,N105 SS DE,,0,1000
83418970,Y7 pro,,,60
84008544,2008 D,,54,0
84595080,N130,,7,7
85782817,1054 D,,1901,763
85842861,old balance,,999937,999937
90228725,I 6. 128 GB Grade A,,14,14
90792033,5047,,43,1
91241031,A920 A9,,-15,-3
91633996,NOTE 8,,1,0
93157611,I 6 S PLUS 16 GB Grade A,,0,0
94015547,"J600, 32 GB EU",,-35,24
94091613,G960F 64 GB,,9,29
94746716,I 8 Plus 256 GB,,5,3
97051571,J111,,0,0
97573881,"I 7, 32GB Grade A",,8,5
97818993,I 6. 16 GB Grade A,,35,19
98692289,I 6 PLUS 64 GB Grade A,,-3,0
99065751,"I 7, 128 GB Grade A",,69,62
99742110,J 701 F 16 GB J7 core,,-1,0
